Cotizacion,Producto Solicitado,Producto Ofrecido,U. Medida,Cantidad,Costo x Unidad,Costo x Unidad SIN IGV en Soles,Precio Venta x Unidad,Link,Observaciones,Habilitar y Deshabilitar,Adjunto,Adjunto Ficha Tecnica,Imagen Referencial,Ultima revisión,TRAZA,OC a proveedor
cff1de249f73c427,0af77de5,"Silla PRESIDENTE LIMS CABECERO REGULBLE EN ALTURA Y EN ANGULO. SISTEMA NEUMÁTICO DE ELEVACIÓN DE ALTURA MEDIANTE PISTÓN A GAS. SISTEMA DE RECLINACIÓN SYNCRO CON BLOQUEO EN 4 POSICIONES. ESPALDAR DE MALLA DE NYLON, REGULABLE EN ALTURA, CON BORDE DE POLIPROPILENO NEGRO. ASIENTO INYECTADO DESLIZABLE EN PROFUNDIDAD, TAPIZADO EN TELA NEGRA. CARCASA INFERIOR DE POLIPROPILENO NEGRO BAJO EL ASIENTO. APOYO LUMBAR ACOLCHADO, REGULABLE EN ALTURA Y PROFUNDIDAD. BRAZOS DE POLIPROPILENO NEGRO REGULABLE 3D (altura, profundidad y ángulo). BASE DE ALUMINIO PULIDO TIPÓ EUROPA DE 5 PUNTAS.  GARRUCHAS DE NYLON NEGRO.",Unidad,1,728.9,728.9,772.14,,,Deshabilitado,,,,,b1f7c75b,
2b86385d98759fcd,b0c69555,LÁMINA ADHESIVA MODELO: EG05-2x15W COLOR: Amarillo/Negro DURACIÓN: 4-5 Semanas MEDIDAS: 43 x 35 Cm. PQT X 12 UNIDADES,Unidad,4,101.7,86.19,127.13,,,Habilitado,,,,25/04/2023 16:08:05,128fa4e7,
336d769f98759fcd,c1fdd3ed,Lámpara Matainsectos Modelo EG05-2x15W CORRIENTE CONTINUA: 220V-60HZ LAMPARA DE ATRACCION: 15W CONSUMO: 20W COBERTURA: 100 Mt2 MEDIDAS: 55.3 x 7.8 x 28.7 Cm. PESO: 3.9 KG El Equipo viene con 2 láminas Adhesivas EG05-2x15W,Unidad,3,339,287.29,423.75,,,Habilitado,,,,25/04/2023 16:08:06,3afbf355,
5de17bf7b93cd71a,95eb19c9,"Cinta de Embalaje 2"" x 110 Yd x 40 mic - Caja x 72 unidades",Unidad,14,300,254.24,317.8,,,Habilitado,,,,,dc270842,
5de17bf75c54ca19,95eb19c9,"Cinta de Embalaje 2"" x 110 Yd x 40 mic - Caja x 72 unidades",Unidad,360,3.17,2.69,0,,,Deshabilitado,,,,,2731a03d,
5de17bf75c54ca19,8f0012e0,"Cinta de embalaje Pegafan 770 - 2"" x 110 x 40micras x caja 36 unidades",Unidad,360,5.6,4.75,0,,,Deshabilitado,,,,,e5983b68,
d4c29c95e10306b6,4bfc604e,Parafina en Perlas Saco 20Kg,Kg,20,14.4,14.4,0,,Se cotizo 460 kg,Deshabilitado,,,,,413255f7,
2d8172ff5bc4285b,cb7bd203,"ENMICADORA DE ESTRUCTURA METALICA. Marca “AKILES”, modelo PROLAM+330 Capacidad de entrada de 33cm.   Para todo formato, Fotocheck, A4, Carta, Oficio, A3. Control de temperatura ajustable bimetálico. Cuenta con 4 rodillos de silicón y dos ventiladores. Temperatura de laminación de 85 – 160°C Consumo de Energía de 220 VAC, 600Wats.",Unidad,1,251.1,251.1,1177.03,,,Habilitado,,,,,af3091c8,
5de17bf7g4ff22ac,7bef1a78,Sikasil AC x 280 mL caja x 12 Unidades,Caja,10,139,117.8,0,,,Deshabilitado,,,,,c8ac9588,
5de17bf71f03e08b,7bef1a78,Sikasil AC x 280 mL caja x 12 Unidades,Caja,10,140,118.64,148.3,,,Habilitado,,,,,e205b6b9,
5de17bf7d46f849b,7bef1a78,Sikasil AC x 280 mL caja x 12 Unidades,Caja,10,145,122.88,0,,,Habilitado,,,,,cec3054d,
5de17bf796334af6,7bef1a78,Sikasil AC x 280 mL caja x 12 Unidades,Caja,10,144,122.03,0,,,Habilitado,,,,,7e20e453,
5de17bf745cd306f,7bef1a78,Sikasil Universal x 280 mL caja x 12 Unidades,Caja,10,120,101.69,0,,,Deshabilitado,,,,,0ac245b4,
7745537bb70ad208,5c782116,"CAJONERA MOVIBLE 60 CM ancho, 75 cm alto, Profundidad 56  cm Cajonera de melamine , lado (derecho e  izquierdo, superficie supoerior e inferior de  25mm de espesor. Cajones de 18mm. Garruchas especiales de goma con freno que resistan un peso  de impresora de aprox 30 kilos",Unidad,1,584.75,584.75,730.94,,,Habilitado,,,,,1674278b,
7745537bb70ad208,28301a0b,"CAJONERA MOVIBLE 56 CM ancho,75 cm alto, Profundidad 56  cm Cajonera de melamine , lado (derecho e  izquierdo, superficie supoeriore e inferior de  25mm de espesor. Cajones de 18mm. Garruchas especiales de goma con freno que resistan un peso  de impresora de aprox 30 kilos.",Unidad,1,550.85,550.85,688.56,,,Habilitado,,,,,c6e14ac5,
05a3a7910183c12c,835c1a62,Fosfato Monoamónico 12.0%N - 60%P2O5 (Exonerado de IGV),Kg,5,4.68,4.68,21.94,,Producto exonerado de IGV,Habilitado,,,,,afc3540d,
05a3a79100da26f7,5084b503,Carbonato de Calcio,Kg,5,3,3,14.06,,,Habilitado,,,,,8e82d50f,
05a3a79100da26f7,58a534b8,Óxido de Cinc,Kg,5,7,7,32.81,,,Habilitado,,,,,f5b9e66b,
05a3a79100da26f7,b3a8b120,Oxido de Magnesio,Kg,5,11,11,51.56,,,Habilitado,,,,,92752572,
ea89aaafbde96dc2,cd6bacee,DERQUAT 5TA CATEGORIA,Galón,3,85,85,106.25,,,Habilitado,,,,,94d9371f,
ea89aaaf2ab77ca4,24c50fa2,Pulverizador Mochila manual 20 L TRAMONTINA,Unidad,1,163,138.136,172.67,https://www.tramontinastore.com.pe/checkout/#/payment,INCLUYE 14 soles de delivery a punto de acopio,Habilitado,,,,,5e2d6883,
ea89aaafd46f849b,cd6bacee,Desinfectante  Virucida DMQ - Spartan,Galón,3,155,131.36,0,https://www.sodimac.com.pe/sodimac-pe/product/4031083/desinfectante-virucida-1gl/4031083/?queryId=aa771f76-1b60-4d06-a151-d79b501e7d94,,Habilitado,,,,,053472d5,
e75ff689e93abd28,6756a7f9,Papel para el Req 1000,Unidad,5,50,50,59,,,Habilitado,,,,,b642cf97,
ba2c1cea01db65c6,3437ae37,Chitosán en Polvo,Kg,350,30,30,0,,,Habilitado,,,,,2b501bbd,
ba2c1cea40506c23,3437ae37,Chitosán en Polvo,Kg,350,29,29,135.94,,,Habilitado,,,,,2422429b,
90c08874a6e1bc85,4bb3b89b,"BORREGRO HA-1, FITOHÚMICO 75 P.S.",Kg,50,11.93,11.93,55.92,,,Habilitado,,,,,1d8f5ff3,
b032af14m7a3d6f5,266dc617,Caja B: 24cm x 24cm x 15cm,Unidad,3000,0.257,0.257,1.21,,,Habilitado,,,,,8a81856e,
b032af14m7a3d6f5,406e9df1,Caja A: 17 x 22 x 14.5 cm,Unidad,3000,0.172,0.172,0.81,,,Habilitado,,,,,98ef4709,
49371c451030cda7,1427f76e,PLANCHA DE CAUCHO NATURAL NEGRO 60 - 65 SH A DE ESPESOR 15 MM X ANCHO 1 MTR X LONG 2.40 MTR,Unidad,26,175.5,666.9,822.66,,,Habilitado,,,,04/05/2023 11:45:29,f98762a1,47630ddf05708cfdSoles
49371c451030cda7,8ae488d8,PLANCHA DE CAUCHO NATURAL NEGRO 60 - 65 SH A DE ESPESOR 15 MM X ANCHO 0.6 MTR X LONG 2.40 MTR,Unidad,16,128.95,490.01,604.45,,,Habilitado,,,,04/05/2023 11:45:30,65659019,
49371c451030cda7,13119419,PLANCHA DE CAUCHO NATURAL NEGRO 60 - 65 SH A DE ESPESOR 15 MM X ANCHO 0.91 MTR X LONG 2.40 MTR,Unidad,3,161.95,615.41,759.14,,,Habilitado,,,,04/05/2023 11:45:30,4e37e64f,
04bdac04ba82cdff,ab370379,"RESPIRADOR 8801 DESCARTABLE P2 PARA POLVOS, H UMOS Y NEBLINAS (PACK X 20) EL RESPIRADOR DES CARTABLE 3M™ 8801 ES UNA OPCIÓN EFICAZ PARA P ROTECCIÓN CONTRA POLVOS, HUMOS, Y NEBLINAS. S U FORMATO ANATÓMICO PERMITE UN AJUSTE ÓPTIMO  AL ROSTRO DEL USUARIO (PACK X 20).",Unidad,300,4.749,4.749,5.94,,,Habilitado,,,,,c88351dd,
1024b371fddd2ed8,519d0563,"Escritorio de melamine de 18mm de  espesor, con canto grueso termofundido  anti impactos de 3mm de espesor. Con cajonera fija de 3mm de espesor. Color wengue. Medidas: 1.50L x 1.71 x 0.75",Unidad,8,1150,974.576,1218.22,,,Habilitado,,,,,ceb60e4e,
7c2e97c9fc949159,d444630d,"CASCO VERTEX VENT BLANCO, - Arnés textil de seis puntos que se adapta perfectamente a la  forma de la cabeza. - Regulación CENTERFIT que ofrece un centrado perfecto del  casco en la cabeza, gracias a las dos ruedas de regulación  laterales.Contorno de cabeza: 53-63 cm Peso: 490 g Materiales: ABS (acrilonitrilo butadieno estireno), poliamida,  policarbonato, poliéster de alta tenacidad y polietileno Certificaciones: CE, EN 397, EN 12492, ANSI Z89.1 Type I Class  C, EAC",Unidad,60,356.89,302.449,378.06,,,Habilitado,,,,,5b702d6e,
d7cb8fbd0b152319,f6daf75f,Alcohol de 96ª d 1 Lt Alkofarma,Litros,8,8.5,7.203,9,,,Habilitado,,,,,952ca1a6,
d7cb8fbd0b152319,17a3d6f5,Ciento de bolsa negra 20 X 30,Unidad,2,7.5,6.356,7.95,,,Habilitado,,,,,5b14bc27,
d7cb8fbd0b152319,b93cd71a,Detergente sapolio de 14 kilos,Unidad,1,76,64.407,80.51,,,Habilitado,,,,,7d6e1d47,
d7cb8fbd0b152319,4e957ebc,Escobillas de ropa Ñusta sin asa,Unidad,18,3.5,2.966,3.71,,,Habilitado,,,,,c6af3631,
d7cb8fbd0b152319,c4ff22ac,Jaón Líquido x Galón - DARYZA,Galón,2,20,16.949,21.19,,,Habilitado,,,,,ca9d0884,
d7cb8fbd0b152319,76dca9db,Quitasarro Ecológico Sapolio x Galón,Galón,1,12,10.169,12.71,,,Habilitado,,,,,35f29cff,
d7cb8fbd0b152319,e93abd28,Jalador de agua hude de 44 cm.,Unidad,4,12,10.169,12.71,,,Habilitado,,,,,27d3a52f,
d7cb8fbd0b152319,f2dec475,Paño microfibra Scoth Brite X 4 Und,PQT,2,9,7.627,9.53,,,Habilitado,,,,,f8e1f843,
d7cb8fbd0b152319,f46f849b,Trapeador Felpa con Ojal  40 x 80 cm x unidad,Unidad,4,4.5,3.814,4.77,,,Habilitado,,,,,fe8b1aff,
d7cb8fbd0b152319,ca14f876,Papel Higienico Jumbo Sumac Dorado X 6,PQT,4,46.5,39.407,49.26,,,Habilitado,,,,,fa846b77,
d7cb8fbd0b152319,a6daf75f,Papel Toalla Interfoliado Doble Hoja 100 % Celulosa Elithe,Unidad,10,8.5,7.203,9,,,Habilitado,,,,,48f9b252,
d7cb8fbd0b152319,a7a3d6f5,Papel Toalla Blanco SUMAC DORADO 4 X 200 MTS,PQT,8,55,46.61,58.26,,,Habilitado,,,,,a9e99ad1,
d7cb8fbd0b152319,a93cd71a,Escobón Hude,Unidad,12,10.5,8.898,11.12,,,Habilitado,,,,,1e81fff2,
d7cb8fbd0b152319,ae957ebc,Dispensador de papel higienico Jumbo,Unidad,2,35,29.661,37.08,,,Habilitado,,,,,bc7c5347,
d7cb8fbd0b152319,a4ff22ac,Pastillas para urinarios,Unidad,5,3.7,3.136,3.92,,,Habilitado,,,,,40085094,
d7cb8fbd0b152319,a6dca9db,Cera liquida neutra autobrillante - Galon *4 litros,Galón,1,35,29.661,37.08,,,Habilitado,,,,,cdbdc59f,
d7cb8fbd0b152319,a93abd28,Lustra muebles (spray),Unidad,3,9.5,8.051,10.06,,,Habilitado,,,,,4938c298,
d7cb8fbd0b152319,a46f849b,Tina REY  #30 (22L),Unidad,2,16.5,13.983,17.48,,,Habilitado,,,,,7f478f82,
d7cb8fbd0b152319,05d1331c,Dispensador de Jabón Randú,Unidad,2,35,29.661,37.08,,,Habilitado,,,,,063da9ce,
d7cb8fbd5c54ca19,aa14f876,Caja de Pilas AA Duracell x 4 x 2,Unidad,1,13,11.017,13.77,,,Habilitado,,,,,3cdde384,
d7cb8fbd5c54ca19,d6daf75f,Caja de pilas AAA Duracell x 8,Unidad,1,12.6,10.678,13.35,,,Habilitado,,,,,3c701956,
d7cb8fbd5c54ca19,d93cd71a,PQT de Papel bond (75gr) x 500 hojas,Unidad,5,12.35,10.466,13.08,,,Habilitado,,,,,b900a607,
d7cb8fbd5c54ca19,de957ebc,Caja de plumón negro indeleble N° 23 Faber Castell,Caja,2,42,35.593,44.49,,,Habilitado,,,,,61bee7b2,
d7cb8fbd5c54ca19,d4ff22ac,Caja de marcador negro indeleble 421 -F - Faber Castell,Caja,1,30,25.424,31.78,,,Habilitado,,,,,5b6a8581,
d7cb8fbd5c54ca19,d6dca9db,Caja de grapas Grapas 26/6 x 5000,Caja,2,3.8,3.22,4.03,,,Habilitado,,,,,2f380c6c,
d7cb8fbd5c54ca19,d93abd28,Caja de fastner Caja x 50 Alpha,Caja,1,4.5,3.814,4.77,,,Habilitado,,,,,368a1377,
d7cb8fbd5c54ca19,d2dec475,PQT de folder manila A4 x 25,PQT,2,5.5,4.661,5.83,,,Habilitado,,,,,ff52791f,
d7cb8fbd5c54ca19,da14f876,Archivadores Lomo Ancho,Unidad,6,4,3.3898,4.24,,,Habilitado,,,,,1736a687,
d7cb8fbd5c54ca19,g6daf75f,Engrapador ARTESCO M-527 Negro,Unidad,1,8.9,7.542,9.43,,,Habilitado,,,,,158da236,
d7cb8fbd5c54ca19,g93cd71a,Cinta de embalaje 90  Yd Importada,PQT,6,2.8,2.373,2.97,,,Habilitado,,,,,4011a48e,
d7cb8fbdd6daf75f,g4ff22ac,CALCULADORA 8 DÍGITOS MS-8S / MS-8B,Unidad,2,32.9,27.88,34.85,https://www.tailoy.com.pe/calcula-8-digi-casio-mx-8sb-4936.html,,Habilitado,,,,,dc1ea30b,
d7cb8fbdd6daf75f,ge957ebc,CINTA ADHESIVA PEGAFAN 12 x 1/2''X 16 YDS CRISTAL (ECONO),Unidad,1,5.8,4.92,6.14,https://www.tailoy.com.pe/cinta-adhesiva-12-pulgadas-x-16-yds-cristal-15933001.html,,Habilitado,,,,,481c287c,
d7cb8fbdcd2f6cfb,a2dec475,Saco de yeso Agricola x 40 kg,Unidad,1,12.61,10.686,13.36,,,Habilitado,,,,,3f04921d,
7c2e97c959d2be65,1debd843,RESPIRADOR ROSTRO COMPLETO 3M 6800 DE 2 VIAS T-M,Unidad,60,508.47,430.91,635.59,,,Habilitado,,,,,a0f3ce90,
7c2e97c959d2be65,d444630d,CASCO RESCATISTA PORTWEST PS53 COLOR BLANCO,Unidad,60,63.56,63.56,0,,,Deshabilitado,,,,,a6cccaf6,
e734658144df07f0,fada7fb3,Bebida FRUGOS Mango/Durazno/Naranja/Manzana Cj 235ml PQT 6un,Unidad,100,6.5,5.508,0,,,Deshabilitado,,,,,e03603d5,
e734658144df07f0,24685bc2,Vizzio Chocolate Bitter 72 Gr,Unidad,100,4.5,3.814,0,,,Habilitado,,,,,30b15a43,
e7346581fef3bd13,fada7fb3,Bebida FRUGOS Mango/Durazno/Narnja/Manzana Cj 235ml Pqt 6un,Unidad,100,6.5,5.508,6.89,,,Habilitado,,,,,4a1142fd,
e7346581fef3bd13,24685bc2,Vizzio Chocolate Bitter 72 Gr,Unidad,100,4.49,3.805,4.76,,,Habilitado,,,,,00fd11b7,
15c71edf1f50ee29,95a56c90,"LAMINAS TERMICAS DE PVC CON ESPESOR DE 2 MM - ANCHO 200MM TRANSPARENTE INCOLORO PARA 16 ESTANTES DE 0.92 ANCHO X 2.25 ALTO, CAD UNO CON 6 LÀMINAS DE 2.25 ALTO",Unidad,16,178,150.847,188.56,,,Habilitado,,,,,0ce0cb62,
15c71edf1f50ee29,229ec900,LAMINAS TERMICAS DE PVC CON ESPESOR DE 2 MM - ANCHO 200MM TRANSPARENTE INCOLORO PARA 12 ESTANTES DE 3.00 ANCHO X 2.00 ALTO 18 LAMINAS POR CADA UNA X 2.00 ALTO.,Unidad,12,468,396.61,495.76,,,Habilitado,,,,,adce1d86,
15c71edf1f50ee29,6c250a34,RIEL DE ACERO INOXADABLE CON CALIDAD 304 ESPERO 0.5 MM NO INCLUYE INSTALACION PARA 16 ESTANTES DE 0.92 ML CADA UNO.,Unidad,16,150,127.119,158.9,,,Habilitado,,,,,af630610,
15c71edf1f50ee29,271d16a5,RIEL DE ACERO INOXADABLE CON CALIDAD 304 ESPERO 0.5 MM NO INCLUYE INSTALACION PARA 12 ESTANTES DE 3.00 ML CADA UNO.,Unidad,12,450,381.356,476.7,,,Habilitado,,,,,5dacedf4,
15c71edfc0d52b60,9f542b75,Angulo con hueco de 3/8 espesor de 2mm,Unidad,56,6.36,6.36,7.95,,,Habilitado,,,,,ba81c6fe,
15c71edfc0d52b60,21fdf638,Angulo con hueco de 3/8 espesor de 1.5mm,Unidad,56,6.36,6.36,7.95,,,Habilitado,,,,,5d316201,
485b1dc153fba735,cc872f5b,Dispensdor de Alcohol en Gel Multiflex Blanco,Unidad,3,69.9,59.237,74.05,,,Habilitado,,,,,e05c2086,
e551ac6fb81c6c9f,8ceadfd3,"Caja Abisagrada  AZUL, 62.5cm x 49.6 cm x 32.cm  Nuevas",Unidad,13,25,25,117.19,,,Habilitado,,,,,34d0b920,
e551ac6f6ffb3297,fb70fc1f,"Cajas Abisagradas VERDE , 51cm x 36cm x 31cm.  SEGUNDA MANO",Unidad,24,7.8,7.8,36.56,,,Habilitado,,,,,680028a5,
b9a7b5f8a792742f,c7ba8c25,JABON LIQUIDO  X 900 ML ANTIBACTERIAL - MARTELL,Unidad,78,7,7,8.75,,,Habilitado,,,,,3ec7906b,
b9a7b5f8a792742f,f0135a04,ALCOHOL GEL X 1L ALKOFARMA,Unidad,468,9,9,11.25,,,Habilitado,,,,,c66dfe7e,
b9a7b5f8a792742f,a82466a7,ALCOHOL 70% X 1L ALKOFARMA,Unidad,624,7,7,8.75,,,Habilitado,,,,,18e1b1b8,
985d2a40m6daf75f,156d2950,Heptano,Unidad,310,2.4,9.12,11.25,,,Habilitado,,,,21/03/2023 22:13:58,ff513b26,
bc1af5a00916c7c1,7e5a8f34,SULFATO FERROSO HEPTAHIDRATADO USO INDUSTRIAL  Presentado en sacos de 25 kilos,Kg,700,0.7,0.7,3.28,,,Habilitado,,,,,d0bed99f,
41d7635f2b8bf2f1,12b658b5,"FILTRO DE AIRE, PRIMARIO RADIALSEAL-NUM PARTE DONALDSON P822768",Unidad,2,25.95,25.95,121.64,,,Habilitado,,,,,82ff2c33,
41d7635f2b8bf2f1,0e26f368,"FILTRO DE AIRE, SEGURIDAD RADIALSEAL-NUM PARTE DONALDSON P822769",Unidad,2,20.84,20.84,97.69,,,Habilitado,,,,,785395d3,
b41c6de3efc4bd7f,b73f9a39,ACEITE PINO 85%,Kg,3,8.81,8.81,41.3,,,Habilitado,,,,,5616464c,
b9a7b5f8a792742f,ccdb335f,JABON LIQUIDO X 1000 mL ANTIBACTERIAL Aval,Unidad,78,8.5,8.5,10.63,,,Habilitado,,,,,6aa55c7c,
87a5a5fce63048ce,0d9c2203,"Triple diamante plásticos resistente plegable contenedor de almacenamiento a granel – 48 en.Largo x 45 en.W X 34 en.H, 2000lb. Capacidad, Modelo # tdp-4548 – 34",Unidad,20,229,229,0,https://www.amazon.com/-/es/pl%C3%A1sticos-resistente-contenedor-almacenamiento-48-en-Largo/dp/B0057NFNMA/ref=sr_1_14?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1FRQTOJBE76I3&keywords=2000+lb+collapsible+bin&qid=1644466840&s=hi&sprefix=contenedor+plegable+2000+lb%2Ctools%2C135&sr=1-14,,Habilitado,,,,,88ea01bb,
dc7f5574328e93dd,29185d5e,EBL Cargador de batería de 40 ranuras para 40 piezas AA AAA recargables – Cargador de batería múltiple avanzado con 4 salidas USB para teléfonos – Diseño de mango (pilas no incluidas),Unidad,2,479,479,598.75,,,Habilitado,,,,,739a0c86,
87a5a5fc82218c70,0d9c2203,Heavy Duty Warehouse Plastic pallet contianer,Unidad,20,160,160,750,https://www.alibaba.com/product-detail/1210-Collapsible-Big-Industry-Plastic-Foldable_1600238153576.html?spm=a2700.galleryofferlist.normal_offer.d_title.5afd1fedNd1RpY,EXW,Habilitado,,,,,07ab5a19,
1dd980a50916c7c1,fdf23d89,SULFATO FERROSO HEPTAHIDRATADO,Kg,800,0.65,0.65,3.05,,,Habilitado,,,,,ca0ab7f6,
1dd980a50183c12c,e2728068,FOSFATO MONOPOTASICO,Kg,1500,3.8,3.22,15.09,,,Habilitado,,,,,907b9324,
1dd980a50183c12c,e48dc2ec,SULFATO DE MAGNESIO 9.8%,Kg,500,1.15,0.975,4.57,,,Habilitado,,,,,d05b5354,
096dcbee926fb9ec,2ebcfdce,"CANDADO DE BLOQUEO TERMOPLASTICO 1 1/2"" ROJO 99552 BRADY",Unidad,20,16.683,14.138,66.27,,,Habilitado,,,,,247e5d4b,
75e113b11f50ee29,0b81b07d,LAMINAS TERMICAS DE PVC CON ESPESOR DE 1.5 MM - ANCHO 200MM TRANSPARENTE INCOLORO 05 DE 11.15 X 3.05 ALTO CON RIEL ACERO.,Unidad,5,4417.5,3743.644,4679.56,,,Habilitado,,,,,f0631f08,
75e113b11f50ee29,9044735f,LAMINAS TERMICAS DE PVC CON ESPESOR DE 1.5 MM - ANCHO 200MM TRANSPARENTE INCOLORO 10 DE 0.92 X 2.23 ALTO CON RIEL DE ACERO.,Unidad,10,337.32,285.864,357.33,,,Habilitado,,,,,1640554a,
de96fff2dabeeece,f08f1686,Fosfato Monocálcico,Kg,25,1.2,1.2,5.63,,,Habilitado,,,,,a1361602,
d7cb8fbde573ce74,d7a3d6f5,Bloqueador solar 3M X 1 LT,Litros,2,130,110.169,137.71,,,Habilitado,,,,,f9acb423,
d7cb8fbdd6daf75f,d46f849b,Vinifan oficio,Unidad,3,6.3,5.34,6.67,,,Habilitado,,,,,5f18ba4f,
d7cb8fbdd6daf75f,g7a3d6f5,PERFOR ARTESCO 11H ESCOLAR M-01,Unidad,1,7.1,6.02,7.52,,,Habilitado,,,,,5068a246,
d4c29c95a38f9bd3,7f738623,Cera Parafinada FR 60 granulada Sasol Wax 5803,Kg,440,2.65,2.65,12.42,,,Habilitado,,,,,953015d4,
d4c29c95a38f9bd3,4bfc604e,Parafina Perlada,Kg,20,2.65,2.65,0,,,Deshabilitado,,,,,1245baa3,
8522ca98f2dec475,dba38ac5,Producto A - Req 2000,Kg,10,28,23.729,0,,,Deshabilitado,,,,,ec0f24c8,
27f1cb80e63048ce,56809bd8,MARTOR Secupro 625 - Cuchillo de seguridad retráctil,Unidad,6,43,43,248,,,Habilitado,,,,,dbeaf61a,
16577079c592329e,d4ad26c5,Zurit Royal Molido 500 g,Unidad,6,13.56,13.56,19.5,,,Habilitado,,,,,73a0188b,
165770792c3569a9,d8af2351,Vasos Plástico  de 6 onz x 50 c/PQT,Unidad,50,2.5,2.119,3.2,,,Habilitado,,,,,d89a2dc1,
165770792c3569a9,475e3c84,Cucharita pequeña descartable PQT X100,Unidad,2,2.5,2.119,3.5,,,Habilitado,,,,,5ffc9c24,
165770795c54ca19,8b60c722,Calculadora Casio HL4A (Chico),Unidad,6,9.8,8.305,9.7,,,Habilitado,,,,,9f4ca5f2,
165770795c54ca19,ef20779e,CHINCHE DORADO ALPHA /100,PQT,1,1.5,1.271,0,,,Habilitado,,,,,5d39e26c,
165770795c54ca19,d8af2351,Vaso Plastico descartable 6.5 oz X50 UN Transparente,Unidad,50,3.2,2.712,0,,,Habilitado,,,,,155d829f,
165770795c54ca19,,TIJERA OFICINA ARTESCO SUPER FLEX #8 GRD,Unidad,12,5.7,4.831,5.5,,,Habilitado,,,,,5b908f4d,
165770795c54ca19,63b76ab6,PAPEL LUSTRE COLOR VERDE,Unidad,36,0.35,0.297,0.39,,,Habilitado,,,,,01900a54,
165770795c54ca19,a8a51963,FORRO TRANSP VINIFAN OFICIO 5MT,Unidad,12,9,7.627,9.5,,,Habilitado,,,,,76b3a37a,
